hd,jcd,rno,lane,regno,racer_id,racer_name,p1_win
20240301,9,6,2,4420,4420,津久井 拓也,0.0787909418693708
20240301,9,6,3,4813,4813,宮内 直哉,0.020713963451373617
20240301,9,6,4,4181,4181,花本 夏樹,0.027501986452048745
20240301,9,6,5,4261,4261,岡 祐臣,0.038733319060592734
20240301,9,6,6,4723,4723,寺島 吉彦,0.0059104954795146415
20240301,9,7,1,4568,4568,廣瀬 真也,0.24722390437637978
20240301,9,7,2,4461,4461,安田 吉宏,0.10945449942975483
20240301,9,7,3,4645,4645,上村 純一,0.15070376820995068
20240301,9,7,4,4895,4895,門間 雄大,0.028374910524784816
20240301,9,7,5,4043,4043,桐本 康臣,0.04386906136869384
20240301,9,7,6,5070,5070,中島 航,0.0028107551169093037
20240301,9,8,1,4431,4431,石塚 裕介,0.03191587906807683
20240301,9,8,2,4888,4888,金児 隆太,0.0449722453031418
20240301,9,8,3,4077,4077,品田 直樹,0.03919021763664364
20240301,9,8,4,4759,4759,今泉 友吾,0.06615675123301006
20240301,9,8,5,4618,4618,乃村 康友,0.049882933459539404
20240301,9,8,6,4169,4169,多田 有佑,0.033723384077362424
20240301,9,9,1,3888,3888,山本 英志,0.4961050492687026
20240301,9,9,2,3973,3973,崎 利仁,0.03227045499015937
20240301,9,9,3,4754,4754,松尾 充,0.05428489746691881
20240301,9,9,4,4887,4887,富澤 祐作,0.21523895937615184
20240301,9,9,5,4297,4297,山田 哲也,0.057900469925342694
20240301,9,9,6,4956,4956,齊藤 大将,0.0044821522135151575
20240301,10,10,1,4415,4415,下出 卓矢,0.6489052807110847
20240301,10,10,2,5267,5267,石本 裕武,0.30100482302430454
20240301,10,10,3,4497,4497,桑原 悠,0.09344554517232302
20240301,10,10,4,3929,3929,杢野 誓良,0.08487610728802895
20240301,10,10,5,5187,5187,小坂 風太,0.005217102259212953
20240301,10,10,6,4057,4057,松井 賢治,0.003683098257441043
20240301,10,11,1,4850,4850,野中 一平,0.27801051965150353
20240301,10,11,2,4308,4308,河村 了,0.13302970288745264
20240301,10,11,3,4786,4786,佐藤 博亮,0.10671505600805534
20240301,10,11,4,3507,3507,藤井 徹,0.0079516926550989
20240301,10,11,5,3745,3745,橋本 年光,0.006020398148678166
20240301,10,11,6,4318,4318,桑原 将光,0.018814246339600212
20240301,10,12,1,3909,3909,佐々木 康幸,0.5320561502984857
20240301,10,12,2,4692,4692,酒井 俊弘,0.08359595865960573
20240301,10,12,3,4019,4019,笠原 亮,0.18517833460402178
20240301,10,12,4,4056,4056,小西 英輝,0.02787428800074425
20240301,10,12,5,4863,4863,三浦 裕貴,0.004800426713653949
20240301,10,12,6,4545,4545,岡村 慶太,0.019114060022893585
20240301,10,1,1,4318,4318,桑原 将光,0.1114227769634425
20240301,10,1,2,5106,5106,山崎 祥,0.0779661389081472
20240301,10,1,3,3929,3929,杢野 誓良,0.13462838033888783
20240301,10,1,4,5100,5100,栗原 一馬,0.046547779945043506
20240301,10,1,5,4648,4648,木村 亮太,0.0008962976763805797
20240301,10,1,6,4747,4747,山戸 信二,0.0011325969671395046
20240301,10,2,1,3745,3745,橋本 年光,0.3557870657972062
20240301,10,2,2,4497,4497,桑原 悠,0.16972724059693198
20240301,10,2,3,3482,3482,金子 猛志,0.022004699692976047
20240301,10,2,4,4692,4692,酒井 俊弘,0.056593327540273436
20240301,10,2,5,3406,3406,中里 英夫,0.014307075061261188
20240301,10,2,6,5238,5238,笹木 香吾,0.0022750840860231935
20240301,10,3,1,5267,5267,石本 裕武,0.4689499283551893
20240301,10,3,2,5000,5000,岡本 翔太郎,0.035660104180473995
20240301,10,3,3,4850,4850,野中 一平,0.07780071521558746
20240301,10,3,4,5179,5179,藤本 元輝,0.026214344558398685
20240301,10,3,5,5085,5085,中村 栄治,0.015763142354976677
20240301,10,3,6,3294,3294,野中 義生,0.01376747432716087
20240301,10,4,1,5018,5018,竹下 大樹,0.38778046517932935
20240301,10,4,2,4863,4863,三浦 裕貴,0.07131625495408912
20240301,10,4,3,3988,3988,古川 誠之,0.03355536472238706
20240301,10,4,4,5247,5247,大森 翼,0.026224644737641814
20240301,10,4,5,4415,4415,下出 卓矢,0.07812203239156139
20240301,10,4,6,3839,3839,川合 理司,0.0030223931327969617
20240301,10,5,1,5011,5011,高木 圭大,0.24639272581961696
20240301,10,5,2,5187,5187,小坂 風太,0.015483871927323777
20240301,10,5,3,3909,3909,佐々木 康幸,0.13565133783597794
20240301,10,5,4,4308,4308,河村 了,0.036626558089527694
20240301,10,5,5,4210,4210,松村 康太,0.07356927129998396
20240301,10,5,6,4037,4037,別府 正幸,0.00542912429744492
20240301,10,6,1,3507,3507,藤井 徹,0.19836133621530277
20240301,10,6,2,4057,4057,松井 賢治,0.07795755875225906
20240301,10,6,3,4545,4545,岡村 慶太,0.133697760929244
20240301,10,6,4,4786,4786,佐藤 博亮,0.0940595119290408
20240301,10,6,5,4953,4953,尾上 雅也,0.030178275185333215
20240301,10,6,6,5100,5100,栗原 一馬,0.009638998319890752
20240301,10,7,1,4056,4056,小西 英輝,0.16147209362967418
20240301,10,7,2,3406,3406,中里 英夫,0.10698813905480756
20240301,10,7,3,3294,3294,野中 義生,0.003471176482269376
20240301,10,7,4,4648,4648,木村 亮太,0.009891575066496298
20240301,10,7,5,5106,5106,山崎 祥,0.006641821720543396
20240301,10,7,6,5266,5266,石田 勇斗,0.009100042016687354
20240301,10,8,1,5000,5000,岡本 翔太郎,0.36490599288315534
20240301,10,8,2,4019,4019,笠原 亮,0.047621323843049825
20240301,10,8,3,4073,4073,大橋 純一郎,0.08042083469622253
20240301,10,8,4,5018,5018,竹下 大樹,0.011036812167316643
20240301,10,8,5,5235,5235,岩田 凌,0.024158579022486745
20240301,10,8,6,5145,5145,島川 海輝,0.000883344940417357
20240301,10,9,1,5179,5179,藤本 元輝,0.0926541620779729
20240301,10,9,2,4210,4210,松村 康太,0.11197253536952262
20240301,10,9,3,4991,4991,宗行 治哉,0.07081824758235065
20240301,10,9,4,4682,4682,大上 卓人,0.21326829204462786
20240301,10,9,5,3988,3988,古川 誠之,0.0062940400533001775
20240301,10,9,6,3482,3482,金子 猛志,0.002941547186583416
20240301,11,10,1,3934,3934,鋤柄 貴俊,0.09304142181214313
20240301,11,10,2,3362,3362,間嶋 仁志,0.05776421258726541
20240301,11,10,3,4319,4319,三宅 潤,0.11142918923759079
20240301,11,10,4,3381,3381,滝沢 芳行,0.04786301004453889
20240301,11,10,5,4630,4630,岩永 雅人,0.013233679309304336
20240301,11,10,6,4119,4119,泥谷 一毅,0.0012899548916729725
20240301,11,11,1,4302,4302,西野 翔太,0.537892602843705
20240301,11,11,2,4325,4325,新出 浩司,0.130556455532782
20240301,11,11,3,4640,4640,山ノ内 雅人,0.09646319202267628
