hd,jcd,rno,lane,regno,racer_id,motor_rate3,st_rank,decision4,tenji_rank,power_outer,power_inner,tenji_sec,wind_speed_m,power_lane,course_first_rate,kimarite_sashi,tenji_st,dash_attack_flag,kimarite_nuki,course_3rd_rate,wave_height_cm,kimarite_makuri_sashi,boat_rate3,boat_rate2,is_strong_wind,kimarite_makuri,racer_name,motor_rate2,is_crosswind,course_avg_st,outer_over_inner
20240328,04,5,4,5179,5179,52.8,2,MAKURI_SASHI,1,13.787,11.618666666666668,6.61,0.0,13.206,6.6,0.0,0.0008,0,0.0,30.0,3.0,2.0,53.57,36.43,0,0.0,藤本 元輝,34.78,0,0.16,2.168333333333333
20240328,04,5,5,5298,5298,59.24,4,MAKURI_SASHI,4,13.787,11.618666666666668,6.79,0.0,13.879,3.4,0.0,0.0016,0,0.0,24.1,3.0,1.0,48.08,31.41,0,0.0,水谷 理人,40.13,0,0.15,2.168333333333333
20240328,04,5,6,5089,5089,49.37,3,MAKURI_SASHI,5,13.787,11.618666666666668,6.8,0.0,14.276,0.0,0.0,0.0014000000000000002,0,0.0,29.6,3.0,0.0,48.25,31.47,0,0.0,前田 翔,33.54,0,0.17,2.168333333333333
20240328,04,6,1,5226,5226,57.32,6,NIGE,2,11.270000000000001,143165590.55733332,6.77,1.0,429496745.127,54.5,0.0,0.09,0,1.0,87.8,3.0,0.0,55.06,36.08,0,0.0,藤田 俊祐,39.49,1,0.16,-143165579.2873333
20240328,04,6,2,5039,5039,41.45,1,NIGE,3,11.270000000000001,143165590.55733332,6.78,1.0,11.665,10.8,2.0,0.0001,0,0.0,34.7,3.0,0.0,54.8,37.85,0,2.0,倉田 茂将,26.97,1,0.14,-143165579.2873333
20240328,04,6,3,5175,5175,57.32,5,NIGE,4,11.270000000000001,143165590.55733332,6.8,1.0,14.879999999999999,2.2,1.0,0.02,0,0.0,31.8,3.0,0.0,40.88,25.79,0,0.0,島崎 丈一朗,40.76,1,0.16,-143165579.2873333
20240328,04,6,4,5139,5139,49.38,4,NIGE,5,11.270000000000001,143165590.55733332,6.82,1.0,12.261999999999999,4.1,0.0,0.01,0,0.0,29.1,3.0,0.0,56.46,35.37,0,1.0,大場 恒季,31.88,1,0.14,-143165579.2873333
20240328,04,6,5,5211,5211,39.6,2,NIGE,5,11.270000000000001,143165590.55733332,6.82,1.0,8.946,2.9,0.0,0.0007000000000000001,0,0.0,17.6,3.0,0.0,51.63,34.64,0,1.0,高井 駿弥,24.16,1,0.14,-143165579.2873333
20240328,04,6,6,4980,4980,47.17,3,NIGE,1,11.270000000000001,143165590.55733332,6.72,1.0,12.602,9.3,0.0,0.0008,0,1.0,34.3,3.0,2.0,46.86,31.43,0,0.0,佐々木 完太,26.42,1,0.16,-143165579.2873333
20240328,04,7,1,5256,5256,51.88,2,SASHI,5,12.202666666666666,13.564666666666668,6.77,0.0,14.358,36.3,0.0,0.04,0,0.0,81.8,3.0,0.0,53.93,37.08,0,0.0,中山 翔太,36.88,0,0.16,-1.3620000000000019
20240328,04,7,2,5136,5136,46.84,1,SASHI,6,12.202666666666666,13.564666666666668,6.79,0.0,14.238999999999999,21.5,7.0,0.001,0,0.0,62.7,3.0,0.0,49.68,35.48,0,3.0,濱野 斗馬,32.91,0,0.14,-1.3620000000000019
