hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240226,05,10,3,4317,0.07,0.16,0.15,4,11.691999999999998
20240226,05,10,4,4224,0.13,0.09,0.2,3,15.982999999999999
20240226,05,10,5,3932,,,0.17,6,429496742.484
20240226,05,10,6,4994,0.14,0.07,0.2,2,13.539000000000001
20240226,05,11,1,4851,0.13,0.0005,0.14,1,14.784999999999998
20240226,05,11,2,5127,0.22,0.0008,0.22,2,13.680000000000001
20240226,05,11,3,4573,0.34,0.0005,0.15,1,13.708
20240226,05,11,4,3159,0.25,0.03,0.0,4,13.275999999999998
20240226,05,11,5,3226,0.35,0.0008,0.16,2,14.937000000000001
20240226,05,11,6,4076,0.4,0.001,0.2,3,14.267000000000001
20240226,05,12,1,4286,0.15,0.1,0.18,5,13.947
20240226,05,12,2,4680,0.19,0.07,0.2,4,14.557
20240226,05,12,3,4283,0.19,0.05,0.18,3,13.264999999999999
20240226,05,12,4,4642,0.16,0.0004,0.16,2,16.056
20240226,05,12,5,5079,0.21,0.23,0.17,6,429496740.687
20240226,05,12,6,3289,0.18,0.0003,0.21,1,13.729000000000001
20240226,05,1,1,5127,0.26,0.001,0.18,1,13.780000000000001
20240226,05,1,2,4081,0.22,0.1,0.2,5,13.826999999999998
20240226,05,1,3,4939,0.19,0.11,0.13,6,429496744.26
20240226,05,1,4,3497,0.23,0.06,0.17,4,13.849000000000002
20240226,05,1,5,4075,0.21,0.02,0.14,3,15.428
20240226,05,1,6,5122,0.24,0.01,0.19,2,13.401000000000002
20240226,05,2,1,3207,0.19,0.0003,0.22,1,11.607999999999999
20240226,05,2,2,4244,0.17,0.03,0.16,2,15.861
20240226,05,2,3,4994,0.2,0.05,0.18,3,13.439
20240226,05,2,4,3932,0.19,0.33,0.18,6,429496742.484
20240226,05,2,5,3778,0.11,0.24,0.21,5,11.975999999999999
20240226,05,2,6,4117,0.13,0.13,0.19,4,14.011
20240226,05,3,1,3256,0.16,0.07,0.13,5,14.358
20240226,05,3,2,4851,0.23,0.04,0.14,3,14.584999999999997
20240226,05,3,3,4113,0.2,0.05,0.19,4,12.394
20240226,05,3,4,5290,0.15,0.0002,0.22,1,13.417
20240226,05,3,5,3941,0.17,0.01,0.13,2,15.69
20240226,05,3,6,5315,0.26,0.26,0.21,6,429496744.941
20240226,05,4,1,3175,0.24,0.12,0.17,3,13.738999999999997
20240226,05,4,2,4642,0.17,0.14,0.17,4,15.856
20240226,05,4,3,3528,0.4,0.22,0.23,5,14.262
20240226,05,4,4,4961,0.21,0.03,0.15,1,16.066
20240226,05,4,5,5277,0.24,0.03,0.21,1,13.933000000000002
20240226,05,4,6,3518,0.19,0.11,0.22,2,14.898
20240226,05,5,1,3656,0.18,0.25,0.16,5,12.192
20240226,05,5,2,3159,0.11,0.12,0.15,2,13.475999999999999
20240226,05,5,3,3497,0.21,0.18,0.16,3,13.949000000000002
20240226,05,5,4,4076,0.08,0.26,0.18,6,429496743.567
20240226,05,5,5,5332,0.08,0.22,0.0,4,12.171999999999999
20240226,05,5,6,3960,0.06,0.11,0.11,1,16.230999999999998
20240226,05,6,1,4317,0.09,0.03,0.14,2,11.892
20240226,05,6,2,4224,0.13,0.11,0.19,3,15.982999999999999
20240226,05,6,3,4680,0.21,0.01,0.19,1,14.857000000000001
