hd,jcd,rno,lane,regno,st_pred_sec,st_rel_sec,st_rank_in_race,dash_advantage,wall_weak_flag,proba_nige,proba_sashi,proba_makuri,proba_makuri_sashi,proba_win,wind_speed_m,kimarite_sashi,is_crosswind,boat_rate3,is_strong_wind,racer_id,dash_attack_flag,kimarite_makuri,power_lane,power_outer,course_avg_st,outer_over_inner,wave_height_cm,power_inner,decision4,motor_rate2,racer_name,kimarite_nuki,tenji_st,boat_rate2,motor_rate3,course_first_rate,kimarite_makuri_sashi,st_rank,tenji_sec,course_3rd_rate,tenji_rank
20240301,02,4,6,4952,0.2423337578307164,0.13685094523039212,5,-0.09628739347986501,0,0.0,0.5641712142341262,0.3820911852037715,0.053735367809487455,0.0014263111661964875,7.0,0.0,1,46.27,1,4952,0,0.0,11.341999999999999,13.465666666666666,0.16,-0.02833333333333421,5.0,13.494,NIGE,29.08,吉武 真也,0.0,0.06,29.1,46.81,0.0,0.0,3,7.02,27.2,3
20240301,02,5,1,4230,0.17116106030748793,0.07991839818646179,4,0.061269908936037176,1,0.9999980813169497,0.0,0.0,0.0,0.29843530776040655,7.0,0.0,1,65.65,1,4230,0,0.0,10.102,13.384,0.13,3.2279999999999998,6.0,10.156,MAKURI,19.64,濱崎 直矢,1.0,,44.27,37.5,70.5,0.0,1,,84.3,1
20240301,02,5,2,4619,0.21792642001004592,0.12668375788901978,6,0.061269908936037176,0,0.0,0.5167651999466581,0.43134518566731983,0.05188443261351181,0.010879799294745453,7.0,1.0,1,44.36,1,4619,0,0.0,10.879,13.384,0.2,3.2279999999999998,6.0,10.156,MAKURI,25.55,伏田 裕隆,0.0,,26.32,45.99,4.1,0.0,1,,62.5,1
20240301,02,5,3,3569,0.18114049394081996,0.08989783181979383,5,0.061269908936037176,0,0.0,0.6861330236549606,0.2559414643473535,0.05792025404926104,0.010147395107169985,7.0,0.0,1,38.58,1,3569,0,0.0,9.487,13.384,0.19,3.2279999999999998,6.0,10.156,MAKURI,21.93,増田 進,0.0,,22.83,38.6,2.7,1.0,1,,16.6,1
20240301,02,5,4,4760,0.09124266212102614,0.0,1,0.061269908936037176,0,0.0,0.1692854676285196,0.7889282196193489,0.04177661350439858,0.31178864648636095,7.0,1.0,1,51.97,1,4760,,15.0,16.177,13.384,0.13,3.2279999999999998,6.0,10.156,MAKURI,39.19,山崎 郡,0.0,,32.28,56.08,39.2,4.0,1,,90.2,1
20240301,02,5,5,4588,0.15632763105678615,0.06508496893576002,3,0.061269908936037176,0,0.0,0.5310675758914633,0.4244964200998437,0.044431232984732866,0.039136700130856426,7.0,0.0,1,49.6,1,4588,0,0.0,12.367,13.384,0.16,3.2279999999999998,6.0,10.156,MAKURI,29.41,田中 京介,0.0,,35.2,42.86,3.8,1.0,1,,42.3,1
20240301,02,5,6,4899,0.13884795427243002,0.04760529215140388,2,0.061269908936037176,0,0.0,0.2994923958137756,0.632755185509852,0.06774659380968924,0.008684362676827624,7.0,0.0,1,49.25,1,4899,0,1.0,11.608,13.384,0.15,3.2279999999999998,6.0,10.156,MAKURI,30.6,占部 一真,0.0,,35.07,47.76,15.3,1.0,1,,23.0,1
20240301,02,6,1,3761,0.11823290091097659,0.0,1,-0.049722588161474596,0,0.9999975137559639,0.0,0.0,0.0,0.4646980327766708,8.0,0.0,1,48.94,1,3761,0,0.0,12.063999999999998,143165590.51299998,0.14,143165576.27266666,6.0,14.240333333333332,SASHI,30.6,山本 光雄,2.0,0.07,28.72,41.04,64.2,0.0,4,6.88,89.2,2
20240301,02,6,2,5124,0.13688239718922696,0.01864949627825037,2,-0.049722588161474596,0,0.0,0.37887462762053903,0.4481900433369815,0.17293122374840217,0.04672238656176514,8.0,2.0,1,46.15,1,5124,0,0.0,15.474,143165590.51299998,0.17,143165576.27266666,6.0,14.240333333333332,SASHI,42.18,上瀧 絢也,0.0,0.0005,25.64,61.22,6.6,0.0,2,6.84,43.3,1
20240301,02,6,3,3939,0.217524386288361,0.0992914853773844,5,-0.049722588161474596,0,0.0,0.45540808589305093,0.44849471475048913,0.096093297516836,0.16664931739549504,8.0,3.0,1,49.23,1,3939,0,5.0,15.183,143165590.51299998,0.16,143165576.27266666,6.0,14.240333333333332,SASHI,38.51,渡辺 真至,1.0,0.16,30.0,60.81,24.3,0.0,5,6.88,70.2,2
